area_code,date_code,years_of_quality_life,sex,age,simd_quintiles,urban_rural_classification
S92000003,2016-2018,27.04,Male,40-44 years,All,Accessible small towns
S92000003,2016-2018,44.26,Male,20-24 years,All,Accessible small towns
S92000003,2016-2018,53.49,Male,10-14 years,All,Accessible small towns
S92000003,2016-2018,12.24,Male,60-64 years,All,Accessible small towns
S92000003,2016-2018,1.85,Male,85-89 years,All,Accessible small towns
S92000003,2016-2018,9.36,Male,65-69 years,All,Accessible small towns
S92000003,2016-2018,6.84,Male,70-74 years,All,Accessible small towns
S92000003,2016-2018,4.69,Male,75-79 years,All,Accessible small towns
S92000003,2016-2018,3,Male,80-84 years,All,Accessible small towns
S92000003,2016-2018,15.53,Male,55-59 years,All,Accessible small towns
S92000003,2016-2018,22.95,Male,45-49 years,All,Accessible small towns
S92000003,2016-2018,1.12,Male,90 years,All,Accessible small towns
S92000003,2016-2018,19.13,Male,50-54 years,All,Accessible small towns
S12000030,2016-2018,59.26,Male,5-9 years,All,All
S12000040,2016-2018,20.21,Male,50-54 years,All,All
S12000040,2016-2018,36.14,Male,30-34 years,All,All
S12000040,2016-2018,27.93,Male,40-44 years,All,All
S12000027,2016-2018,39.13,Male,30-34 years,All,All
S12000027,2016-2018,34.77,Male,35-39 years,All,All
S12000040,2016-2018,32.05,Male,35-39 years,All,All
S12000030,2016-2018,50.89,Male,15-19 years,All,All
S12000040,2016-2018,49.24,Male,15-19 years,All,All
S12000030,2016-2018,38.16,Male,30-34 years,All,All
S12000040,2016-2018,23.99,Male,45-49 years,All,All
S12000040,2016-2018,44.67,Male,20-24 years,All,All
S12000040,2016-2018,53.87,Male,10-14 years,All,All
S12000026,2016-2018,62.74,Male,1-4 years,All,All
S12000026,2016-2018,58.74,Male,5-9 years,All,All
S12000027,2016-2018,48.07,Male,20-24 years,All,All
S12000027,2016-2018,43.67,Male,25-29 years,All,All
S12000026,2016-2018,12.62,Male,60-64 years,All,All
S12000026,2016-2018,9.76,Male,65-69 years,All,All
S12000026,2016-2018,53.86,Male,10-14 years,All,All
S12000026,2016-2018,48.94,Male,15-19 years,All,All
S12000026,2016-2018,44.27,Male,20-24 years,All,All
S12000027,2016-2018,30.44,Male,40-44 years,All,All
S12000027,2016-2018,18.5,Male,55-59 years,All,All
S12000027,2016-2018,26.32,Male,45-49 years,All,All
S12000027,2016-2018,15.33,Male,60-64 years,All,All
S12000040,2016-2018,2.35,Male,90 years,All,All
S12000039,2016-2018,39.45,Male,20-24 years,All,All
S12000040,2016-2018,4.34,Male,80-84 years,All,All
S12000040,2016-2018,40.29,Male,25-29 years,All,All
S12000039,2016-2018,35.02,Male,25-29 years,All,All
S12000039,2016-2018,26.63,Male,35-39 years,All,All
S12000039,2016-2018,22.74,Male,40-44 years,All,All
S12000040,2016-2018,5.99,Male,75-79 years,All,All
S12000040,2016-2018,13.45,Male,60-64 years,All,All
S12000040,2016-2018,16.75,Male,55-59 years,All,All
S12000040,2016-2018,10.68,Male,65-69 years,All,All
S12000040,2016-2018,3.15,Male,85-89 years,All,All
S12000040,2016-2018,8.19,Male,70-74 years,All,All
S12000030,2016-2018,42.36,Male,25-29 years,All,All
S12000030,2016-2018,62.53,Male,1-4 years,All,All
S12000029,2016-2018,0.34,Male,90 years,All,All
S12000030,2016-2018,46.6,Male,20-24 years,All,All
S12000029,2016-2018,11.01,Male,60-64 years,All,All
S12000030,2016-2018,55.1,Male,10-14 years,All,All
S12000039,2016-2018,19,Male,45-49 years,All,All
S12000039,2016-2018,15.52,Male,50-54 years,All,All
S12000039,2016-2018,30.73,Male,30-34 years,All,All
S12000039,2016-2018,9.59,Male,60-64 years,All,All
S12000030,2016-2018,63.28,Male,0 years,All,All
S12000039,2016-2018,12.35,Male,55-59 years,All,All
S12000014,2016-2018,2.77,Male,85-89 years,All,All
S12000014,2016-2018,2.05,Male,90 years,All,All
S12000014,2016-2018,5.34,Male,75-79 years,All,All
S12000049,2016-2018,55.35,Male,1-4 years,All,All
S12000047,2016-2018,1.83,Male,90 years,All,All
S12000049,2016-2018,56.08,Male,0 years,All,All
S12000047,2016-2018,2.76,Male,85-89 years,All,All
S12000047,2016-2018,26.73,Male,40-44 years,All,All
S12000047,2016-2018,23.05,Male,45-49 years,All,All
S12000049,2016-2018,32.74,Male,25-29 years,All,All
S12000047,2016-2018,13.12,Male,60-64 years,All,All
S12000014,2016-2018,3.82,Male,80-84 years,All,All
S12000047,2016-2018,19.52,Male,50-54 years,All,All
S12000049,2016-2018,51.47,Male,5-9 years,All,All
S12000006,2016-2018,23.93,Male,45-49 years,All,All
S12000006,2016-2018,16.78,Male,55-59 years,All,All
S12000006,2016-2018,31.71,Male,35-39 years,All,All
S12000006,2016-2018,7.95,Male,70-74 years,All,All
S12000036,2016-2018,37.87,Male,30-34 years,All,All
S12000006,2016-2018,5.75,Male,75-79 years,All,All
S12000006,2016-2018,10.57,Male,65-69 years,All,All
S12000006,2016-2018,49.67,Male,15-19 years,All,All
S12000006,2016-2018,44.97,Male,20-24 years,All,All
S12000006,2016-2018,63.43,Male,1-4 years,All,All
S12000006,2016-2018,35.98,Male,30-34 years,All,All
S12000006,2016-2018,27.77,Male,40-44 years,All,All
S12000006,2016-2018,40.4,Male,25-29 years,All,All
S12000042,2016-2018,38.84,Male,20-24 years,All,All
S12000042,2016-2018,52.41,Male,5-9 years,All,All
S12000042,2016-2018,47.87,Male,10-14 years,All,All
S12000006,2016-2018,20.26,Male,50-54 years,All,All
S12000049,2016-2018,20.27,Male,40-44 years,All,All
S12000049,2016-2018,28.31,Male,30-34 years,All,All
S12000049,2016-2018,13.84,Male,50-54 years,All,All
S12000006,2016-2018,2.45,Male,85-89 years,All,All
S12000006,2016-2018,3.89,Male,80-84 years,All,All
S12000006,2016-2018,13.58,Male,60-64 years,All,All
S12000006,2016-2018,1.41,Male,90 years,All,All
S12000042,2016-2018,56.01,Male,1-4 years,All,All
S12000042,2016-2018,43.33,Male,15-19 years,All,All
S12000014,2016-2018,25.89,Male,40-44 years,All,All
S12000014,2016-2018,38.46,Male,25-29 years,All,All
S12000011,2016-2018,67.85,Male,1-4 years,All,All
S12000014,2016-2018,52.43,Male,10-14 years,All,All
S12000005,2016-2018,23.43,Male,45-49 years,All,All
S12000005,2016-2018,10.63,Male,65-69 years,All,All
S12000014,2016-2018,57.4,Male,5-9 years,All,All
S12000011,2016-2018,8.98,Male,70-74 years,All,All
S12000014,2016-2018,42.97,Male,20-24 years,All,All
S12000011,2016-2018,12.22,Male,65-69 years,All,All
S12000014,2016-2018,47.57,Male,15-19 years,All,All
S12000011,2016-2018,54.09,Male,15-19 years,All,All
S12000011,2016-2018,63.86,Male,5-9 years,All,All
S12000005,2016-2018,2.99,Male,85-89 years,All,All
S12000005,2016-2018,2.14,Male,90 years,All,All
S12000005,2016-2018,4.3,Male,80-84 years,All,All
S12000006,2016-2018,64.17,Male,0 years,All,All
S12000006,2016-2018,59.46,Male,5-9 years,All,All
S12000006,2016-2018,54.54,Male,10-14 years,All,All
S12000005,2016-2018,13.29,Male,60-64 years,All,All
S12000005,2016-2018,16.53,Male,55-59 years,All,All
S12000005,2016-2018,19.92,Male,50-54 years,All,All
S12000005,2016-2018,7.97,Male,70-74 years,All,All
S12000042,2016-2018,56.46,Male,0 years,All,All
S12000005,2016-2018,5.89,Male,75-79 years,All,All
S12000047,2016-2018,43.06,Male,20-24 years,All,All
S12000047,2016-2018,30.59,Male,35-39 years,All,All
S12000017,2016-2018,11.1,Male,65-69 years,All,All
S12000018,2016-2018,59.58,Male,0 years,All,All
S12000047,2016-2018,60.32,Male,1-4 years,All,All
S12000047,2016-2018,34.55,Male,30-34 years,All,All
S12000047,2016-2018,38.71,Male,25-29 years,All,All
S12000017,2016-2018,14.06,Male,60-64 years,All,All
S12000049,2016-2018,8.51,Male,60-64 years,All,All
S12000017,2016-2018,8.42,Male,70-74 years,All,All
S12000018,2016-2018,58.64,Male,1-4 years,All,All
S12000017,2016-2018,2.82,Male,85-89 years,All,All
S12000017,2016-2018,6.08,Male,75-79 years,All,All
S12000047,2016-2018,56.63,Male,5-9 years,All,All
S12000049,2016-2018,41.9,Male,15-19 years,All,All
S12000047,2016-2018,60.97,Male,0 years,All,All
S12000047,2016-2018,52.02,Male,10-14 years,All,All
S12000047,2016-2018,16.21,Male,55-59 years,All,All
S12000049,2016-2018,37.29,Male,20-24 years,All,All
S12000049,2016-2018,46.66,Male,10-14 years,All,All
S12000014,2016-2018,7.27,Male,70-74 years,All,All
S12000014,2016-2018,15.16,Male,55-59 years,All,All
S12000014,2016-2018,18.58,Male,50-54 years,All,All
S12000014,2016-2018,12.16,Male,60-64 years,All,All
S12000047,2016-2018,47.48,Male,15-19 years,All,All
S12000014,2016-2018,9.6,Male,65-69 years,All,All
S12000049,2016-2018,3.49,Male,75-79 years,All,All
S12000019,2016-2018,39.1,Male,25-29 years,All,All
S12000017,2016-2018,64.34,Male,0 years,All,All
S12000049,2016-2018,1.89,Male,85-89 years,All,All
S12000017,2016-2018,49.96,Male,15-19 years,All,All
S12000017,2016-2018,63.45,Male,1-4 years,All,All
S12000049,2016-2018,1.44,Male,90 years,All,All
S12000049,2016-2018,16.89,Male,45-49 years,All,All
S12000049,2016-2018,4.84,Male,70-74 years,All,All
S12000017,2016-2018,59.56,Male,5-9 years,All,All
S12000049,2016-2018,24.1,Male,35-39 years,All,All
S12000049,2016-2018,6.49,Male,65-69 years,All,All
S12000049,2016-2018,11.01,Male,55-59 years,All,All
S12000017,2016-2018,28.68,Male,40-44 years,All,All
S12000017,2016-2018,24.73,Male,45-49 years,All,All
S12000017,2016-2018,36.93,Male,30-34 years,All,All
S12000017,2016-2018,17.3,Male,55-59 years,All,All
S12000017,2016-2018,4.17,Male,80-84 years,All,All
S12000017,2016-2018,20.87,Male,50-54 years,All,All
S12000017,2016-2018,54.75,Male,10-14 years,All,All
S12000017,2016-2018,45.45,Male,20-24 years,All,All
S12000049,2016-2018,2.52,Male,80-84 years,All,All
S12000017,2016-2018,41.05,Male,25-29 years,All,All
S12000017,2016-2018,2.1,Male,90 years,All,All
S12000017,2016-2018,32.7,Male,35-39 years,All,All
S92000003,2016-2018,12.4,Male,60-64 years,3,All
S92000003,2016-2018,1.44,Male,90 years,3,All
S92000003,2016-2018,9.62,Male,65-69 years,3,All
S92000003,2016-2018,5.03,Male,75-79 years,3,All
S92000003,2016-2018,7.14,Male,70-74 years,3,All
S92000003,2016-2018,48.69,Male,15-19 years,3,All
S92000003,2016-2018,19.09,Male,50-54 years,3,All
S92000003,2016-2018,15.56,Male,55-59 years,3,All
S92000003,2016-2018,30.87,Male,35-39 years,3,All
S92000003,2016-2018,44.08,Male,20-24 years,3,All
S92000003,2016-2018,53.45,Male,10-14 years,3,All
S92000003,2016-2018,62.12,Male,1-4 years,3,All
S92000003,2016-2018,3.4,Male,80-84 years,3,All
S92000003,2016-2018,62.93,Male,0 years,3,All
S92000003,2016-2018,26.8,Male,40-44 years,3,All
S92000003,2016-2018,58.25,Male,5-9 years,3,All
S92000003,2016-2018,22.87,Male,45-49 years,3,All
S92000003,2016-2018,2.21,Male,85-89 years,3,All
S92000003,2016-2018,26.01,Male,35-39 years,2,All
S92000003,2016-2018,18.81,Male,45-49 years,2,All
S92000003,2016-2018,5.67,Male,70-74 years,2,All
S92000003,2016-2018,51.84,Male,5-9 years,2,All
S92000003,2016-2018,47.3,Male,10-14 years,2,All
S92000003,2016-2018,38.4,Male,20-24 years,2,All
S92000003,2016-2018,22.25,Male,40-44 years,2,All
S92000003,2016-2018,42.79,Male,15-19 years,2,All
S92000003,2016-2018,2.81,Male,80-84 years,2,All
S92000003,2016-2018,4.07,Male,75-79 years,2,All
S92000003,2016-2018,1.93,Male,85-89 years,2,All
S92000003,2016-2018,1.36,Male,90 years,2,All
S92000003,2016-2018,35.12,Male,30-34 years,3,All
S92000003,2016-2018,39.53,Male,25-29 years,3,All
S92000003,2016-2018,69.29,Male,1-4 years,5 - least deprived,All
S92000003,2016-2018,46.67,Male,25-29 years,5 - least deprived,All
S92000003,2016-2018,42.19,Male,30-34 years,5 - least deprived,All
S92000003,2016-2018,60.63,Male,10-14 years,5 - least deprived,All
S92000003,2016-2018,70.15,Male,0 years,5 - least deprived,All
S92000003,2016-2018,55.88,Male,15-19 years,5 - least deprived,All
S92000003,2016-2018,51.22,Male,20-24 years,5 - least deprived,All
S92000003,2016-2018,29.05,Male,45-49 years,5 - least deprived,All
S92000003,2016-2018,20.81,Male,55-59 years,5 - least deprived,All
S92000003,2016-2018,10.23,Male,70-74 years,5 - least deprived,All
S92000003,2016-2018,13.45,Male,65-69 years,5 - least deprived,All
S92000003,2016-2018,16.98,Male,60-64 years,5 - least deprived,All
S92000003,2016-2018,37.74,Male,35-39 years,5 - least deprived,All
S92000003,2016-2018,7.35,Male,75-79 years,5 - least deprived,All
S92000003,2016-2018,33.33,Male,40-44 years,5 - least deprived,All
S92000003,2016-2018,3.3,Male,85-89 years,5 - least deprived,All
S92000003,2016-2018,24.84,Male,50-54 years,5 - least deprived,All
S92000003,2016-2018,5.01,Male,80-84 years,5 - least deprived,All
S92000003,2016-2018,2.18,Male,90 years,5 - least deprived,All
S92000003,2016-2018,26.11,Male,45-49 years,4,All
S92000003,2016-2018,2.73,Male,85-89 years,4,All
S92000003,2016-2018,22.09,Male,50-54 years,4,All
S92000003,2016-2018,4.16,Male,80-84 years,4,All
S92000003,2016-2018,11.55,Male,65-69 years,4,All
S92000003,2016-2018,18.3,Male,55-59 years,4,All
S92000003,2016-2018,47.82,Male,20-24 years,4,All
S92000003,2016-2018,57.03,Male,10-14 years,4,All
S92000003,2016-2018,52.37,Male,15-19 years,4,All
S92000003,2016-2018,6.15,Male,75-79 years,4,All
S92000003,2016-2018,43.32,Male,25-29 years,4,All
S92000003,2016-2018,66.31,Male,0 years,4,All
S92000003,2016-2018,38.91,Male,30-34 years,4,All
S92000003,2016-2018,61.72,Male,5-9 years,4,All
S92000003,2016-2018,30.27,Male,40-44 years,4,All
S92000003,2016-2018,34.57,Male,35-39 years,4,All
S92000003,2016-2018,65.47,Male,1-4 years,4,All
S92000003,2016-2018,1.85,Male,90 years,4,All
S92000003,2016-2018,8.67,Male,70-74 years,4,All
S92000003,2016-2018,14.75,Male,60-64 years,4,All
S92000003,2016-2018,65.43,Male,5-9 years,5 - least deprived,All
S92000003,2016-2018,15.54,Male,50-54 years,2,All
S92000003,2016-2018,7.62,Male,65-69 years,2,All
S92000003,2016-2018,55.45,Male,1-4 years,2,All
S92000003,2016-2018,9.85,Male,60-64 years,2,All
S92000003,2016-2018,34.15,Male,25-29 years,2,All
S92000003,2016-2018,56.1,Male,0 years,2,All
S92000003,2016-2018,12.52,Male,55-59 years,2,All
S92000003,2016-2018,29.99,Male,30-34 years,2,All
S92000003,2016-2018,31.68,Male,20-24 years,1 - most deprived,All
S92000003,2016-2018,4.48,Male,65-69 years,1 - most deprived,All
S92000003,2016-2018,23.37,Male,30-34 years,1 - most deprived,All
S92000003,2016-2018,40.68,Male,10-14 years,1 - most deprived,All
S92000003,2016-2018,27.41,Male,25-29 years,1 - most deprived,All
S92000003,2016-2018,19.62,Male,35-39 years,1 - most deprived,All
S92000003,2016-2018,49.06,Male,1-4 years,1 - most deprived,All
S92000003,2016-2018,1.26,Male,80-84 years,1 - most deprived,All
S92000003,2016-2018,3.14,Male,70-74 years,1 - most deprived,All
S92000003,2016-2018,2.03,Male,75-79 years,1 - most deprived,All
S92000003,2016-2018,0.45,Male,90 years,1 - most deprived,All
S92000003,2016-2018,0.74,Male,85-89 years,1 - most deprived,All
S92000003,2016-2018,49.74,Male,0 years,1 - most deprived,All
S92000003,2016-2018,45.33,Male,5-9 years,1 - most deprived,All
S92000003,2016-2018,36.11,Male,15-19 years,1 - most deprived,All
S92000003,2016-2018,6.1,Male,60-64 years,1 - most deprived,All
S92000003,2016-2018,16.26,Male,40-44 years,1 - most deprived,All
S92000003,2016-2018,13.26,Male,45-49 years,1 - most deprived,All
S92000003,2016-2018,10.57,Male,50-54 years,1 - most deprived,All
S92000003,2016-2018,8.14,Male,55-59 years,1 - most deprived,All
S92000003,2016-2018,60.3,Male,0 years,All,Other urban areas
S92000003,2016-2018,51.19,Male,10-14 years,All,Other urban areas
S92000003,2016-2018,33.6,Male,30-34 years,All,Other urban areas
S92000003,2016-2018,37.78,Male,25-29 years,All,Other urban areas
S92000003,2016-2018,59.57,Male,1-4 years,All,Other urban areas
S92000003,2016-2018,55.84,Male,5-9 years,All,Other urban areas
S92000003,2016-2018,42.12,Male,20-24 years,All,Other urban areas
S92000003,2016-2018,46.58,Male,15-19 years,All,Other urban areas
S92000003,2016-2018,14.78,Male,55-59 years,All,Large urban areas
S92000003,2016-2018,11.84,Male,60-64 years,All,Large urban areas
S92000003,2016-2018,7.01,Male,70-74 years,All,Large urban areas
S92000003,2016-2018,9.26,Male,65-69 years,All,Large urban areas
S92000003,2016-2018,25.04,Male,40-44 years,All,Large urban areas
S92000003,2016-2018,33.2,Male,30-34 years,All,Large urban areas
S92000003,2016-2018,51.37,Male,10-14 years,All,Large urban areas
S92000003,2016-2018,60.64,Male,0 years,All,Large urban areas
S92000003,2016-2018,42.09,Male,20-24 years,All,Large urban areas
S92000003,2016-2018,46.68,Male,15-19 years,All,Large urban areas
S92000003,2016-2018,37.58,Male,25-29 years,All,Large urban areas
S92000003,2016-2018,18,Male,50-54 years,All,Large urban areas
S92000003,2016-2018,21.42,Male,45-49 years,All,Large urban areas
S92000003,2016-2018,28.98,Male,35-39 years,All,Large urban areas
S92000003,2016-2018,59.92,Male,1-4 years,All,Large urban areas
S92000003,2016-2018,56.11,Male,5-9 years,All,Large urban areas
S92000003,2016-2018,3.56,Male,80-84 years,All,Large urban areas
S92000003,2016-2018,5.05,Male,75-79 years,All,Large urban areas
S92000003,2016-2018,2.41,Male,85-89 years,All,Large urban areas
S92000003,2016-2018,1.68,Male,90 years,All,Large urban areas
S12000035,2016-2018,65.21,Male,0 years,All,All
S12000035,2016-2018,13.17,Male,60-64 years,All,All
S12000033,2016-2018,51.75,Male,10-14 years,All,All
S12000035,2016-2018,40.85,Male,25-29 years,All,All
S12000035,2016-2018,31.99,Male,35-39 years,All,All
S12000033,2016-2018,47.09,Male,15-19 years,All,All
S12000033,2016-2018,60.96,Male,0 years,All,All
S12000035,2016-2018,27.75,Male,40-44 years,All,All
S12000035,2016-2018,23.77,Male,45-49 years,All,All
S12000033,2016-2018,56.43,Male,5-9 years,All,All
S12000033,2016-2018,60.17,Male,1-4 years,All,All
S12000035,2016-2018,10.27,Male,65-69 years,All,All
S12000035,2016-2018,36.48,Male,30-34 years,All,All
S12000035,2016-2018,45.57,Male,20-24 years,All,All
S12000035,2016-2018,50.38,Male,15-19 years,All,All
S12000035,2016-2018,55.27,Male,10-14 years,All,All
S12000035,2016-2018,64.21,Male,1-4 years,All,All
S12000035,2016-2018,60.27,Male,5-9 years,All,All
S12000034,2016-2018,12.68,Male,65-69 years,All,All
S12000034,2016-2018,4.93,Male,80-84 years,All,All
S12000034,2016-2018,9.76,Male,70-74 years,All,All
S12000034,2016-2018,7.21,Male,75-79 years,All,All
S12000034,2016-2018,19.52,Male,55-59 years,All,All
S12000041,2016-2018,57.39,Male,5-9 years,All,All
S12000041,2016-2018,33.2,Male,35-39 years,All,All
S12000041,2016-2018,37.06,Male,30-34 years,All,All
S12000041,2016-2018,9.09,Male,70-74 years,All,All
S12000041,2016-2018,14.88,Male,60-64 years,All,All
S12000034,2016-2018,23.26,Male,50-54 years,All,All
S12000034,2016-2018,15.97,Male,60-64 years,All,All
S12000033,2016-2018,25.51,Male,40-44 years,All,All
S12000041,2016-2018,61.15,Male,0 years,All,All
S12000033,2016-2018,33.7,Male,30-34 years,All,All
S12000034,2016-2018,40.33,Male,30-34 years,All,All
S12000033,2016-2018,29.44,Male,35-39 years,All,All
S12000034,2016-2018,3.22,Male,85-89 years,All,All
S12000041,2016-2018,53.33,Male,10-14 years,All,All
S12000041,2016-2018,49.2,Male,15-19 years,All,All
S12000041,2016-2018,60.58,Male,1-4 years,All,All
S12000034,2016-2018,44.96,Male,25-29 years,All,All
S12000034,2016-2018,31.48,Male,40-44 years,All,All
S12000034,2016-2018,54.46,Male,15-19 years,All,All
S12000034,2016-2018,68.05,Male,1-4 years,All,All
S12000034,2016-2018,49.69,Male,20-24 years,All,All
S12000034,2016-2018,27.25,Male,45-49 years,All,All
S12000034,2016-2018,35.89,Male,35-39 years,All,All
S12000033,2016-2018,1.91,Male,85-89 years,All,All
S12000033,2016-2018,1.41,Male,90 years,All,All
S12000041,2016-2018,6.53,Male,75-79 years,All,All
S12000041,2016-2018,2.09,Male,90 years,All,All
S12000041,2016-2018,11.96,Male,65-69 years,All,All
S12000033,2016-2018,11.92,Male,60-64 years,All,All
S12000033,2016-2018,14.95,Male,55-59 years,All,All
S12000041,2016-2018,41.05,Male,25-29 years,All,All
S12000041,2016-2018,4.52,Male,80-84 years,All,All
S12000041,2016-2018,3.07,Male,85-89 years,All,All
S12000041,2016-2018,45.14,Male,20-24 years,All,All
S12000033,2016-2018,21.82,Male,45-49 years,All,All
S12000035,2016-2018,16.45,Male,55-59 years,All,All
S12000034,2016-2018,1.86,Male,90 years,All,All
S12000033,2016-2018,18.32,Male,50-54 years,All,All
S12000033,2016-2018,42.58,Male,20-24 years,All,All
S12000033,2016-2018,9.27,Male,65-69 years,All,All
S12000035,2016-2018,20.01,Male,50-54 years,All,All
S12000033,2016-2018,38.08,Male,25-29 years,All,All
S12000034,2016-2018,64.17,Male,5-9 years,All,All
S12000034,2016-2018,59.31,Male,10-14 years,All,All
S12000034,2016-2018,68.92,Male,0 years,All,All
S12000033,2016-2018,4.77,Male,75-79 years,All,All
S12000033,2016-2018,3.17,Male,80-84 years,All,All
S12000041,2016-2018,29.32,Male,40-44 years,All,All
S12000041,2016-2018,25.5,Male,45-49 years,All,All
S12000033,2016-2018,6.93,Male,70-74 years,All,All
S12000041,2016-2018,21.73,Male,50-54 years,All,All
S12000041,2016-2018,18.22,Male,55-59 years,All,All
S92000003,2016-2018,65.33,Male,1-4 years,All,Accessible rural
S92000003,2016-2018,56.79,Male,10-14 years,All,Accessible rural
S92000003,2016-2018,52.04,Male,15-19 years,All,Accessible rural
S92000003,2016-2018,61.4,Male,5-9 years,All,Remote rural
S92000003,2016-2018,65.34,Male,1-4 years,All,Remote rural
S92000003,2016-2018,29.98,Male,40-44 years,All,Remote rural
S92000003,2016-2018,47.07,Male,20-24 years,All,Remote rural
S92000003,2016-2018,51.65,Male,15-19 years,All,Remote rural
S92000003,2016-2018,66.27,Male,0 years,All,Remote rural
S92000003,2016-2018,38.31,Male,30-34 years,All,Remote rural
S92000003,2016-2018,34.07,Male,35-39 years,All,Remote rural
S92000003,2016-2018,29.76,Male,40-44 years,All,Accessible rural
S92000003,2016-2018,25.56,Male,45-49 years,All,Accessible rural
S92000003,2016-2018,2.49,Male,85-89 years,All,Accessible rural
S92000003,2016-2018,3.89,Male,80-84 years,All,Accessible rural
S92000003,2016-2018,1.53,Male,90 years,All,Accessible rural
S92000003,2016-2018,47.42,Male,20-24 years,All,Accessible rural
S92000003,2016-2018,38.4,Male,30-34 years,All,Accessible rural
S92000003,2016-2018,42.84,Male,25-29 years,All,Accessible rural
S92000003,2016-2018,61.54,Male,5-9 years,All,Accessible rural
S92000003,2016-2018,14.16,Male,60-64 years,All,Accessible rural
S92000003,2016-2018,34.05,Male,35-39 years,All,Accessible rural
S92000003,2016-2018,17.67,Male,55-59 years,All,Accessible rural
S92000003,2016-2018,21.52,Male,50-54 years,All,Accessible rural
S92000003,2016-2018,5.83,Male,75-79 years,All,Accessible rural
S92000003,2016-2018,8.24,Male,70-74 years,All,Accessible rural
S92000003,2016-2018,11.03,Male,65-69 years,All,Accessible rural
S92000003,2016-2018,66.13,Male,0 years,All,Accessible rural
S92000003,2016-2018,3.16,Male,85-89 years,All,Remote rural
S92000003,2016-2018,4.78,Male,80-84 years,All,Remote rural
S92000003,2016-2018,22.16,Male,50-54 years,All,Remote rural
S92000003,2016-2018,25.99,Male,45-49 years,All,Remote rural
S92000003,2016-2018,12.12,Male,65-69 years,All,Remote rural
S92000003,2016-2018,18.57,Male,55-59 years,All,Remote rural
S92000003,2016-2018,6.83,Male,75-79 years,All,Remote rural
S92000003,2016-2018,2.01,Male,90 years,All,Remote rural
S92000003,2016-2018,42.61,Male,25-29 years,All,Remote rural
S92000003,2016-2018,9.32,Male,70-74 years,All,Remote rural
S92000003,2016-2018,15.23,Male,60-64 years,All,Remote rural
S92000003,2016-2018,56.45,Male,10-14 years,All,Remote rural
S92000003,2016-2018,14.26,Female,60-64 years,3,All
S92000003,2016-2018,11.16,Female,65-69 years,3,All
S92000003,2016-2018,17.51,Female,55-59 years,3,All
S92000003,2016-2018,24.68,Female,45-49 years,3,All
S92000003,2016-2018,31.71,Female,40-44 years,4,All
S92000003,2016-2018,35.87,Female,35-39 years,4,All
S92000003,2016-2018,19.89,Female,55-59 years,4,All
S92000003,2016-2018,27.64,Female,45-49 years,4,All
S92000003,2016-2018,23.67,Female,50-54 years,4,All
S92000003,2016-2018,1.74,Female,90 years,3,All
S92000003,2016-2018,5.91,Female,75-79 years,3,All
S92000003,2016-2018,2.63,Female,85-89 years,3,All
S92000003,2016-2018,8.33,Female,70-74 years,3,All
S92000003,2016-2018,62.39,Female,0 years,3,All
S92000003,2016-2018,4.02,Female,80-84 years,3,All
S92000003,2016-2018,20.99,Female,50-54 years,3,All
